pkt_id;src;dest;psize;delay_ms;proc_delay_ms;prop_delay_ms;trans_delay_ms;queue_delay_ms;vm_policy;link_policy;wf_policy
1;app0;db0;5000000;10150.6659;150.0;0.222;400.0;9600.0039;LFF;BLA;Priority
3;app0;web0;5000000;9750.6659;350.0;0.222;400.0;9000.0039;LFF;BLA;Priority
0;web0;app0;10000000;11700.6659;100.0;0.222;800.0;10800.0039;LFF;BLA;Priority
8;web0;app0;10000000;7700.6659;100.0;0.222;800.0;6800.0039;LFF;BLA;Priority
12;web1;app0;5000000;5800.402;1000.0;0.201;400.0;4399.801;LFF;BLA;Priority
4;web1;app0;20000000;12200.402;1000.0;0.201;1600.0;9599.801;LFF;BLA;Priority
9;app0;db0;50000000;16950.6659;150.0;0.222;4000.0;12800.0039;LFF;BLA;Priority
17;app0;db0;50000000;13250.6659;250.0;0.222;4000.0;9000.0039;LFF;BLA;Priority
24;web0;app0;10000000;10000.6659;200.0;0.222;800.0;9000.0039;LFF;BLA;Priority
11;app0;web0;50000000;16550.6659;350.0;0.222;4000.0;12200.0039;LFF;BLA;Priority
19;app0;web0;10000000;13550.6658;550.0;0.222;800.0;12200.0039;LFF;BLA;Priority
35;app0;web0;20000000;8550.6658;750.0;0.222;1600.0;6200.0039;LFF;BLA;Priority
16;web0;app0;75000000;19600.6659;200.0;0.222;6000.0;13400.0039;LFF;BLA;Priority
47;app0;web1;5000000;7000.4019;350.0;0.201;400.0;6249.8009;LFF;BLA;Priority
45;app0;db0;5000000;8150.6658;150.0;0.222;400.0;7600.0039;LFF;BLA;Priority
26;db0;app0;50000000;18600.6658;200.0;0.222;4000.0;14400.0039;LFF;BLA;Priority
2;db0;app0;100000000;32450.6658;150.0;0.222;8000.0;24300.0039;LFF;BLA;Priority
10;db0;app0;100000000;28450.6658;150.0;0.222;8000.0;20300.0039;LFF;BLA;Priority
40;web0;app0;20000000;13830.6659;10.0;0.222;1600.0;12220.0039;LFF;BLA;Priority
5;app0;db0;10000000;31400.6659;7500.0;0.222;800.0;23100.0039;LFF;BLA;Priority
