# units: packetId; src; dst; psize; delay(ms); proc_delay(ms); prop_delay(ms); trans_delay(ms); queue_delay(ms)
1;web1;app1;10000000;18999.9996;10000.0000;0.0000;0.0000;8999.9996
1;web1;app1;10000000;18999.9996;10000.0000;0.0000;0.0000;8999.9996
13;web1;app1;200000000;14200.0000;10000.0000;0.0000;0.0000;4200.0000
13;web1;app1;200000000;14200.0000;10000.0000;0.0000;0.0000;4200.0000
10;app2;app4;20000000;19021.0393;4000.0000;0.3465;640.0000;14380.0028
10;app2;app4;20000000;19021.0393;4000.0000;0.3465;640.0000;14380.0028
32;web3;app3;300000000;10899.9998;4000.0000;0.0000;0.0000;6899.9998
32;web3;app3;300000000;10899.9998;4000.0000;0.0000;0.0000;6899.9998
17;db1;app4;300000000;17499.9998;5000.0000;0.0000;0.0000;12499.6298
17;db1;app4;300000000;17499.9998;5000.0000;0.0000;0.0000;12499.6298
17;db1;app4;300000000;17499.9998;5000.0000;0.0000;0.0000;12499.6298
17;db1;app4;300000000;17499.9998;5000.0000;0.0000;0.0000;12499.6298
17;db1;app4;300000000;17499.9998;5000.0000;0.0000;0.0000;12499.6298
17;db1;app4;300000000;17499.9998;5000.0000;0.0000;0.0000;12499.6298
17;db1;app4;300000000;17499.9998;5000.0000;0.0000;0.0000;12499.6298
17;db1;app4;300000000;17499.9998;5000.0000;0.0000;0.0000;12499.6298
10;app2;app4;20000000;23661.3858;4000.0000;0.3465;640.0000;19020.3493
10;app2;app4;20000000;23661.3858;4000.0000;0.3465;640.0000;19020.3493
10;app2;app4;20000000;23661.3858;4000.0000;0.3465;640.0000;19020.3493
10;app2;app4;20000000;23661.3858;4000.0000;0.3465;640.0000;19020.3493
10;app2;app4;20000000;23661.3858;4000.0000;0.3465;640.0000;19020.3493
10;app2;app4;20000000;23661.3858;4000.0000;0.3465;640.0000;19020.3493
10;app2;app4;20000000;23661.3858;4000.0000;0.3465;640.0000;19020.3493
10;app2;app4;20000000;23661.3858;4000.0000;0.3465;640.0000;19020.3493
10;app2;app4;20000000;23661.3858;4000.0000;0.3465;640.0000;19020.3493
10;app2;app4;20000000;23661.3858;4000.0000;0.3465;640.0000;19020.3493
10;app2;app4;20000000;23661.3858;4000.0000;0.3465;640.0000;19020.3493
10;app2;app4;20000000;23661.3858;4000.0000;0.3465;640.0000;19020.3493
34;app1;app1;300000000;18199.9998;4000.0000;0.0000;0.0000;14199.6498
34;app1;app1;300000000;18199.9998;4000.0000;0.0000;0.0000;14199.6498
34;app1;app1;300000000;18199.9998;4000.0000;0.0000;0.0000;14199.6498
34;app1;app1;300000000;18199.9998;4000.0000;0.0000;0.0000;14199.6498
34;app1;app1;300000000;18199.9998;4000.0000;0.0000;0.0000;14199.6498
34;app1;app1;300000000;18199.9998;4000.0000;0.0000;0.0000;14199.6498
34;app1;app1;300000000;18199.9998;4000.0000;0.0000;0.0000;14199.6498
34;app1;app1;300000000;18199.9998;4000.0000;0.0000;0.0000;14199.6498
53;db2;app2;10000000;11199.9998;2000.0000;0.0000;0.0000;9199.9998
53;db2;app2;10000000;11199.9998;2000.0000;0.0000;0.0000;9199.9998
55;web2;app3;100000000;18399.9998;10000.0000;0.0000;0.0000;8399.9998
55;web2;app3;100000000;18399.9998;10000.0000;0.0000;0.0000;8399.9998
18;app4;app4;20000000;32099.9998;10000.0000;0.0000;0.0000;22099.6298
18;app4;app4;20000000;32099.9998;10000.0000;0.0000;0.0000;22099.6298
18;app4;app4;20000000;32099.9998;10000.0000;0.0000;0.0000;22099.6298
18;app4;app4;20000000;32099.9998;10000.0000;0.0000;0.0000;22099.6298
18;app4;app4;20000000;32099.9998;10000.0000;0.0000;0.0000;22099.6298
18;app4;app4;20000000;32099.9998;10000.0000;0.0000;0.0000;22099.6298
18;app4;app4;20000000;32099.9998;10000.0000;0.0000;0.0000;22099.6298
18;app4;app4;20000000;32099.9998;10000.0000;0.0000;0.0000;22099.6298
7;web2;app1;400000000;36499.9998;10000.0000;0.0000;0.0000;26499.6498
7;web2;app1;400000000;36499.9998;10000.0000;0.0000;0.0000;26499.6498
7;web2;app1;400000000;36499.9998;10000.0000;0.0000;0.0000;26499.6498
7;web2;app1;400000000;36499.9998;10000.0000;0.0000;0.0000;26499.6498
7;web2;app1;400000000;36499.9998;10000.0000;0.0000;0.0000;26499.6498
7;web2;app1;400000000;36499.9998;10000.0000;0.0000;0.0000;26499.6498
7;web2;app1;400000000;36499.9998;10000.0000;0.0000;0.0000;26499.6498
7;web2;app1;400000000;36499.9998;10000.0000;0.0000;0.0000;26499.6498
58;db2;app4;10000000;23161.0395;5000.0000;0.3465;320.0000;17840.0030
58;db2;app4;10000000;23161.0395;5000.0000;0.3465;320.0000;17840.0030
46;web4;web0;150000000;28001.0391;4000.0000;0.3465;4800.0000;19200.0126
46;web4;web0;150000000;28001.0391;4000.0000;0.3465;4800.0000;19200.0126
2;svc2;app1;100000000;47001.1364;10000.0000;0.3789;2800.0000;34200.0475
2;svc2;app1;100000000;47001.1364;10000.0000;0.3789;2800.0000;34200.0475
9;web2;app3;20000000;45499.9996;40000.0000;0.0000;0.0000;5499.9996
9;web2;app3;20000000;45499.9996;40000.0000;0.0000;0.0000;5499.9996
70;app4;web0;150000000;21399.9998;20000.0000;0.0000;0.0000;1399.9998
70;app4;web0;150000000;21399.9998;20000.0000;0.0000;0.0000;1399.9998
96;app1;web2;100000000;10599.9996;10000.0000;0.0000;0.0000;599.9996
96;app1;web2;100000000;10599.9996;10000.0000;0.0000;0.0000;599.9996
58;db2;app4;10000000;28481.3860;5000.0000;0.3465;320.0000;23160.3495
58;db2;app4;10000000;28481.3860;5000.0000;0.3465;320.0000;23160.3495
58;db2;app4;10000000;28481.3860;5000.0000;0.3465;320.0000;23160.3495
58;db2;app4;10000000;28481.3860;5000.0000;0.3465;320.0000;23160.3495
58;db2;app4;10000000;28481.3860;5000.0000;0.3465;320.0000;23160.3495
58;db2;app4;10000000;28481.3860;5000.0000;0.3465;320.0000;23160.3495
58;db2;app4;10000000;28481.3860;5000.0000;0.3465;320.0000;23160.3495
58;db2;app4;10000000;28481.3860;5000.0000;0.3465;320.0000;23160.3495
58;db2;app4;10000000;28481.3860;5000.0000;0.3465;320.0000;23160.3495
58;db2;app4;10000000;28481.3860;5000.0000;0.3465;320.0000;23160.3495
58;db2;app4;10000000;28481.3860;5000.0000;0.3465;320.0000;23160.3495
58;db2;app4;10000000;28481.3860;5000.0000;0.3465;320.0000;23160.3495
75;app1;app1;100000000;21199.9998;4000.0000;0.0000;0.0000;17199.6498
75;app1;app1;100000000;21199.9998;4000.0000;0.0000;0.0000;17199.6498
75;app1;app1;100000000;21199.9998;4000.0000;0.0000;0.0000;17199.6498
75;app1;app1;100000000;21199.9998;4000.0000;0.0000;0.0000;17199.6498
75;app1;app1;100000000;21199.9998;4000.0000;0.0000;0.0000;17199.6498
75;app1;app1;100000000;21199.9998;4000.0000;0.0000;0.0000;17199.6498
75;app1;app1;100000000;21199.9998;4000.0000;0.0000;0.0000;17199.6498
75;app1;app1;100000000;21199.9998;4000.0000;0.0000;0.0000;17199.6498
91;app3;app1;150000000;14400.0000;4000.0000;0.0000;0.0000;10399.6500
91;app3;app1;150000000;14400.0000;4000.0000;0.0000;0.0000;10399.6500
91;app3;app1;150000000;14400.0000;4000.0000;0.0000;0.0000;10399.6500
91;app3;app1;150000000;14400.0000;4000.0000;0.0000;0.0000;10399.6500
91;app3;app1;150000000;14400.0000;4000.0000;0.0000;0.0000;10399.6500
91;app3;app1;150000000;14400.0000;4000.0000;0.0000;0.0000;10399.6500
91;app3;app1;150000000;14400.0000;4000.0000;0.0000;0.0000;10399.6500
91;app3;app1;150000000;14400.0000;4000.0000;0.0000;0.0000;10399.6500
78;svc0;web3;150000000;20300.0000;4000.0000;0.0000;0.0000;16299.7000
78;svc0;web3;150000000;20300.0000;4000.0000;0.0000;0.0000;16299.7000
78;svc0;web3;150000000;20300.0000;4000.0000;0.0000;0.0000;16299.7000
78;svc0;web3;150000000;20300.0000;4000.0000;0.0000;0.0000;16299.7000
78;svc0;web3;150000000;20300.0000;4000.0000;0.0000;0.0000;16299.7000
78;svc0;web3;150000000;20300.0000;4000.0000;0.0000;0.0000;16299.7000
78;svc0;web3;150000000;20300.0000;4000.0000;0.0000;0.0000;16299.7000
78;svc0;web3;150000000;20300.0000;4000.0000;0.0000;0.0000;16299.7000
46;web4;web0;150000000;36801.3856;4000.0000;0.3465;4800.0000;28000.3591
46;web4;web0;150000000;36801.3856;4000.0000;0.3465;4800.0000;28000.3591
46;web4;web0;150000000;36801.3856;4000.0000;0.3465;4800.0000;28000.3591
46;web4;web0;150000000;36801.3856;4000.0000;0.3465;4800.0000;28000.3591
46;web4;web0;150000000;36801.3856;4000.0000;0.3465;4800.0000;28000.3591
46;web4;web0;150000000;36801.3856;4000.0000;0.3465;4800.0000;28000.3591
46;web4;web0;150000000;36801.3856;4000.0000;0.3465;4800.0000;28000.3591
46;web4;web0;150000000;36801.3856;4000.0000;0.3465;4800.0000;28000.3591
46;web4;web0;150000000;36801.3856;4000.0000;0.3465;4800.0000;28000.3591
46;web4;web0;150000000;36801.3856;4000.0000;0.3465;4800.0000;28000.3591
46;web4;web0;150000000;36801.3856;4000.0000;0.3465;4800.0000;28000.3591
46;web4;web0;150000000;36801.3856;4000.0000;0.3465;4800.0000;28000.3591
2;svc2;app1;100000000;59801.5152;10000.0000;0.3789;2800.0000;47000.4264
2;svc2;app1;100000000;59801.5152;10000.0000;0.3789;2800.0000;47000.4264
2;svc2;app1;100000000;59801.5152;10000.0000;0.3789;2800.0000;47000.4264
2;svc2;app1;100000000;59801.5152;10000.0000;0.3789;2800.0000;47000.4264
2;svc2;app1;100000000;59801.5152;10000.0000;0.3789;2800.0000;47000.4264
2;svc2;app1;100000000;59801.5152;10000.0000;0.3789;2800.0000;47000.4264
2;svc2;app1;100000000;59801.5152;10000.0000;0.3789;2800.0000;47000.4264
2;svc2;app1;100000000;59801.5152;10000.0000;0.3789;2800.0000;47000.4264
2;svc2;app1;100000000;59801.5152;10000.0000;0.3789;2800.0000;47000.4264
2;svc2;app1;100000000;59801.5152;10000.0000;0.3789;2800.0000;47000.4264
2;svc2;app1;100000000;59801.5152;10000.0000;0.3789;2800.0000;47000.4264
2;svc2;app1;100000000;59801.5152;10000.0000;0.3789;2800.0000;47000.4264
86;app2;app4;100000000;25901.0393;4000.0000;0.3465;3200.0000;18700.0028
86;app2;app4;100000000;25901.0393;4000.0000;0.3465;3200.0000;18700.0028
112;app4;app4;150000000;16700.0000;4000.0000;0.0000;0.0000;12699.6300
112;app4;app4;150000000;16700.0000;4000.0000;0.0000;0.0000;12699.6300
112;app4;app4;150000000;16700.0000;4000.0000;0.0000;0.0000;12699.6300
112;app4;app4;150000000;16700.0000;4000.0000;0.0000;0.0000;12699.6300
112;app4;app4;150000000;16700.0000;4000.0000;0.0000;0.0000;12699.6300
112;app4;app4;150000000;16700.0000;4000.0000;0.0000;0.0000;12699.6300
112;app4;app4;150000000;16700.0000;4000.0000;0.0000;0.0000;12699.6300
