pkt_id;src;dest;psize;delay_ms;proc_delay_ms;prop_delay_ms;trans_delay_ms;queue_delay_ms;vm_policy;link_policy;wf_policy
7;db0;app0;75000000;11301.0729;2000.0;0.3576;600.0;8700.1452;LFF;BLA;Priority
4;app1;db1;5000000;18220.6638;4000.0;0.2213;40.0;14180.0025;LFF;BLA;Priority
9;cache1;app0;50000000;15301.0121;4000.0;0.3374;400.0;10900.2447;LFF;BLA;Priority
3;app0;db0;50000000;20001.0729;4000.0;0.3576;400.0;15600.0153;LFF;BLA;Priority
15;web0;app0;5000000;11300.0;4000.0;0.0;0.0;7300.0;LFF;BLA;Priority
0;db1;app0;5000000;24121.0729;5000.0;0.3576;40.0;19080.1452;LFF;BLA;Priority
6;db1;app0;50000000;20401.0728;5000.0;0.3576;400.0;15000.1452;LFF;BLA;Priority
17;web0;app0;20000000;15900.0;10000.0;0.0;0.0;5900.0;LFF;BLA;Priority
20;cache0;web0;5000000;15721.0121;4000.0;0.3374;40.0;11680.0147;LFF;BLA;Priority
24;app0;app1;100000000;15101.0121;4000.0;0.3374;800.0;10300.0147;LFF;BLA;Priority
8;cache0;web0;20000000;33081.0121;10000.0;0.3374;160.0;22920.0147;LFF;BLA;Priority
10;app0;db0;50000000;32401.0728;10000.0;0.3576;400.0;22000.0152;LFF;BLA;Priority
26;app1;web1;5000000;21721.0121;4000.0;0.3374;40.0;17680.0147;LFF;BLA;Priority
27;cache1;app0;75000000;22701.0121;4000.0;0.3374;600.0;18100.2447;LFF;BLA;Priority
44;db0;web0;75000000;12701.0729;2000.0;0.3576;600.0;10100.0153;LFF;BLA;Priority
35;web1;web0;5000000;22780.2001;10000.0;0.1;40.0;12739.9;LFF;BLA;Priority
21;cache1;app0;5000000;33021.0121;10000.0;0.3374;40.0;22980.2447;LFF;BLA;Priority
18;db0;web0;20000000;35481.0729;10000.0;0.3576;160.0;25320.0153;LFF;BLA;Priority
45;db0;web0;75000000;21001.0729;5000.0;0.3576;600.0;15400.0152;LFF;BLA;Priority
30;web1;app0;5000000;36820.3001;10000.0;0.1;40.0;26779.7701;LFF;BLA;Priority
37;app1;web1;100000000;33301.0121;10000.0;0.3374;800.0;22500.0147;LFF;BLA;Priority
77;db0;web0;5000000;6321.0728;2000.0;0.3576;40.0;4280.0152;LFF;BLA;Priority
72;db0;web0;10000000;10441.0728;2000.0;0.3576;80.0;8360.0152;LFF;BLA;Priority
74;web1;web0;20000000;10920.2;4000.0;0.1;160.0;6759.9;LFF;BLA;Priority
59;web0;app0;50000000;24099.9999;20000.0;0.0;0.0;4099.9999;LFF;BLA;Priority
11;db0;web0;5000000;60521.0729;20000.0;0.3576;40.0;40480.0153;LFF;BLA;Priority
47;app0;db1;10000000;33041.0728;10000.0;0.3576;80.0;22960.0152;LFF;BLA;Priority
40;db1;app0;10000000;38741.0728;10000.0;0.3576;80.0;28660.1452;LFF;BLA;Priority
49;db1;app0;100000000;33701.0729;10000.0;0.3576;800.0;22900.1453;LFF;BLA;Priority
69;cache0;web0;20000000;19081.0121;4000.0;0.3374;160.0;14920.0147;LFF;BLA;Priority
65;app0;web0;75000000;29500.0;20000.0;0.0;0.0;9500.0;LFF;BLA;Priority
12;app0;db1;5000000;69721.0728;20000.0;0.3576;40.0;49680.0152;LFF;BLA;Priority
48;app0;web1;20000000;42520.2001;20000.0;0.1;160.0;22359.9;LFF;BLA;Priority
56;db0;web0;20000000;36581.0728;10000.0;0.3576;160.0;26420.0152;LFF;BLA;Priority
57;db1;web0;50000000;36501.0729;10000.0;0.3576;400.0;26100.0152;LFF;BLA;Priority
64;app1;web1;75000000;32001.0121;10000.0;0.3374;600.0;21400.0147;LFF;BLA;Priority
54;db1;app0;100000000;40201.0729;10000.0;0.3576;800.0;29400.1453;LFF;BLA;Priority
67;app1;db0;20000000;38580.6638;10000.0;0.2213;160.0;28420.0025;LFF;BLA;Priority
76;app1;db1;50000000;32000.6638;10000.0;0.2213;400.0;21600.0025;LFF;BLA;Priority
58;web1;web0;100000000;46300.2001;20000.0;0.1;800.0;25499.9;LFF;BLA;Priority
96;app1;db1;5000000;18120.6637;4000.0;0.2213;40.0;14080.0024;LFF;BLA;Priority
68;web0;app0;100000000;47399.9999;40000.0;0.0;0.0;7399.9999;LFF;BLA;Priority
88;cache0;web0;5000000;32021.0121;10000.0;0.3374;40.0;21980.0147;LFF;BLA;Priority
41;db1;web0;5000000;67721.0729;20000.0;0.3576;40.0;47680.0153;LFF;BLA;Priority
87;db0;app0;50000000;33701.0728;10000.0;0.3576;400.0;23300.1452;LFF;BLA;Priority
79;db1;app0;100000000;41101.0728;10000.0;0.3576;800.0;30300.1452;LFF;BLA;Priority
62;db1;web0;20000000;62481.0728;20000.0;0.3576;160.0;42320.0152;LFF;BLA;Priority
98;db1;web0;75000000;36501.0729;10000.0;0.3576;600.0;25900.0152;LFF;BLA;Priority
94;app0;db0;100000000;39801.0728;10000.0;0.3576;800.0;29000.0152;LFF;BLA;Priority
25;web0;app0;10000000;100100.0;100000.0;0.0;0.0;100.0;LFF;BLA;Priority
83;app1;web0;10000000;65841.0121;20000.0;0.3374;80.0;45760.0148;LFF;BLA;Priority
13;cache0;web0;5000000;129221.0121;40000.0;0.3374;40.0;89180.0147;LFF;BLA;Priority
99;app0;app1;10000000;63941.0121;20000.0;0.3374;80.0;43860.0147;LFF;BLA;Priority
97;db0;web0;20000000;65781.0729;20000.0;0.3576;160.0;45620.0152;LFF;BLA;Priority
14;app1;db0;50000000;129400.6637;40000.0;0.2213;400.0;89000.0025;LFF;BLA;Priority
16;app1;web0;100000000;129101.0121;40000.0;0.3374;800.0;88300.0147;LFF;BLA;Priority
36;app1;db0;50000000;123100.6637;40000.0;0.2213;400.0;82700.0025;LFF;BLA;Priority
33;app1;db1;100000000;126700.6638;40000.0;0.2213;800.0;85900.0025;LFF;BLA;Priority
95;app1;app1;75000000;86600.0;40000.0;0.0;0.0;46599.9;LFF;BLA;Priority
51;app1;web1;5000000;130121.0122;40000.0;0.3374;40.0;90080.0148;LFF;BLA;Priority
85;app0;app1;100000000;126401.0121;40000.0;0.3374;800.0;85600.0147;LFF;BLA;Priority
73;db1;web0;100000000;155701.0728;50000.0;0.3576;800.0;104900.0152;LFF;BLA;Priority
78;db0;web0;75000000;161401.0729;50000.0;0.3576;600.0;110800.0152;LFF;BLA;Priority
55;web0;app0;20000000;206899.9999;200000.0;0.0;0.0;6899.9999;LFF;BLA;Priority
66;app1;app1;100000000;208600.0;100000.0;0.0;0.0;108599.9;LFF;BLA;Priority
90;app1;app1;50000000;200199.9999;100000.0;0.0;0.0;100199.8999;LFF;BLA;Priority
86;web1;web0;100000000;204600.2001;100000.0;0.1;800.0;103799.9;LFF;BLA;Priority
5;db0;web0;5000000;305221.0728;100000.0;0.3576;40.0;205180.0152;LFF;BLA;Priority
2;app0;db1;10000000;307741.0728;100000.0;0.3576;80.0;207660.0152;LFF;BLA;Priority
1;app0;db0;75000000;310201.0728;100000.0;0.3576;600.0;209600.0152;LFF;BLA;Priority
32;db0;app0;50000000;306301.0728;100000.0;0.3576;400.0;205900.1452;LFF;BLA;Priority
29;db0;web0;50000000;308501.0728;100000.0;0.3576;400.0;208100.0152;LFF;BLA;Priority
43;app1;web1;5000000;305821.0121;100000.0;0.3374;40.0;205780.0147;LFF;BLA;Priority
50;web1;app0;100000000;303100.3001;100000.0;0.1;800.0;202299.7701;LFF;BLA;Priority
63;db0;app0;50000000;302301.0729;100000.0;0.3576;400.0;201900.1452;LFF;BLA;Priority
89;db0;app0;100000000;303601.0728;100000.0;0.3576;800.0;202800.1452;LFF;BLA;Priority
93;app0;web0;20000000;408400.0;400000.0;0.0;0.0;8400.0;LFF;BLA;Priority
22;db0;web0;100000000;604501.0729;200000.0;0.3576;800.0;403700.0153;LFF;BLA;Priority
38;db1;web0;100000000;602501.0729;200000.0;0.3576;800.0;401700.0153;LFF;BLA;Priority
61;web1;app0;50000000;603900.3001;200000.0;0.1;400.0;403499.7701;LFF;BLA;Priority
71;app1;web0;100000000;607501.0121;200000.0;0.3374;800.0;406700.0147;LFF;BLA;Priority
75;web0;app0;10000000;1001700.0;1000000.0;0.0;0.0;1700.0;LFF;BLA;Priority
39;app0;app1;50000000;1210701.0121;400000.0;0.3374;400.0;810300.0147;LFF;BLA;Priority
82;cache0;web0;100000000;1208701.0121;400000.0;0.3374;800.0;807900.0148;LFF;BLA;Priority
92;app0;db1;20000000;1209381.0729;400000.0;0.3576;160.0;809220.0152;LFF;BLA;Priority
46;db0;app0;10000000;1503641.0728;500000.0;0.3576;80.0;1003560.1452;LFF;BLA;Priority
53;db0;app0;5000000;1508821.0729;500000.0;0.3576;40.0;1008780.1452;LFF;BLA;Priority
60;db1;web0;5000000;1503621.0728;500000.0;0.3576;40.0;1003580.0152;LFF;BLA;Priority
84;db0;app0;100000000;1507301.0728;500000.0;0.3576;800.0;1006500.1452;LFF;BLA;Priority
