# units: packetId; src; dst; psize; delay(ms); proc_delay(ms); prop_delay(ms); trans_delay(ms); queue_delay(ms)
1;web1;app1;10000000;18999.9999;10000.0000;0.0000;0.0000;8999.9999
1;web1;app1;10000000;18999.9999;10000.0000;0.0000;0.0000;8999.9999
13;web1;app1;200000000;14199.9999;10000.0000;0.0000;0.0000;4199.9999
13;web1;app1;200000000;14199.9999;10000.0000;0.0000;0.0000;4199.9999
32;web3;app3;300000000;10900.0000;4000.0000;0.0000;0.0000;6900.0000
32;web3;app3;300000000;10900.0000;4000.0000;0.0000;0.0000;6900.0000
17;db1;app4;300000000;17499.9999;5000.0000;0.0000;0.0000;12499.9999
17;db1;app4;300000000;17499.9999;5000.0000;0.0000;0.0000;12499.9999
17;db1;app4;300000000;17499.9999;5000.0000;0.0000;0.0000;12499.9999
17;db1;app4;300000000;17499.9999;5000.0000;0.0000;0.0000;12499.9999
17;db1;app4;300000000;17499.9999;5000.0000;0.0000;0.0000;12499.9999
17;db1;app4;300000000;17499.9999;5000.0000;0.0000;0.0000;12499.9999
17;db1;app4;300000000;17499.9999;5000.0000;0.0000;0.0000;12499.9999
17;db1;app4;300000000;17499.9999;5000.0000;0.0000;0.0000;12499.9999
34;app1;app1;300000000;18200.0000;4000.0000;0.0000;0.0000;14200.0000
34;app1;app1;300000000;18200.0000;4000.0000;0.0000;0.0000;14200.0000
34;app1;app1;300000000;18200.0000;4000.0000;0.0000;0.0000;14200.0000
34;app1;app1;300000000;18200.0000;4000.0000;0.0000;0.0000;14200.0000
34;app1;app1;300000000;18200.0000;4000.0000;0.0000;0.0000;14200.0000
34;app1;app1;300000000;18200.0000;4000.0000;0.0000;0.0000;14200.0000
34;app1;app1;300000000;18200.0000;4000.0000;0.0000;0.0000;14200.0000
34;app1;app1;300000000;18200.0000;4000.0000;0.0000;0.0000;14200.0000
53;db2;app2;10000000;11200.0000;2000.0000;0.0000;0.0000;9200.0000
53;db2;app2;10000000;11200.0000;2000.0000;0.0000;0.0000;9200.0000
55;web2;app3;100000000;18399.9999;10000.0000;0.0000;0.0000;8399.9999
55;web2;app3;100000000;18399.9999;10000.0000;0.0000;0.0000;8399.9999
18;app4;app4;20000000;32099.9999;10000.0000;0.0000;0.0000;22099.9999
18;app4;app4;20000000;32099.9999;10000.0000;0.0000;0.0000;22099.9999
18;app4;app4;20000000;32099.9999;10000.0000;0.0000;0.0000;22099.9999
18;app4;app4;20000000;32099.9999;10000.0000;0.0000;0.0000;22099.9999
