# units: time(s); src; dst; path; min_bw_Mbps; avgBwUsedMbps; avgPctUse(%); network_latency(ms); processing_delay(ms); total_delay(ms); selected
10;h_11;h_11;h_11->(LOCAL)->h_11;10000.0000;0.00;0.00;0.0000;4599.9997;4599.9997;true
10;h_11;h_11;h_11->(LOCAL)->h_11;10000.0000;0.00;0.00;0.0000;4399.9997;4399.9997;true
10;h_11;h_11;h_11->(LOCAL)->h_11;10000.0000;0.00;0.00;0.0000;2899.9997;2899.9997;true
10;h_11;h_11;h_11->(LOCAL)->h_11;10000.0000;0.00;0.00;0.0000;2499.9999;2499.9999;true
10;h_11;h_11;h_11->(LOCAL)->h_11;10000.0000;0.00;0.00;0.0000;2099.9999;2099.9999;true
10;h_11;h_11;h_11->(LOCAL)->h_11;10000.0000;0.00;0.00;0.0000;1199.9998;1199.9998;true
10;h_11;h_11;h_11->(LOCAL)->h_11;10000.0000;0.00;0.00;0.0000;399.9998;399.9998;true
10;h_10;h_11;h_10->edge5->h_11;1000.0000;0.00;0.00;3200.1000;6299.8996;9499.9997;true
10;h_11;h_11;h_11->(LOCAL)->h_11;10000.0000;0.00;0.00;0.0000;7699.9996;7699.9996;true
10;h_10;h_11;h_10->edge5->h_11;1000.0000;0.00;0.00;1200.1000;7099.8998;8299.9999;true
10;h_10;h_11;h_10->edge5->h_11;1000.0000;0.00;0.00;3200.1000;3299.8999;6499.9999;true
10;h_10;h_11;h_10->edge5->h_11;1000.0000;0.00;0.00;1200.1000;2199.8997;3399.9997;true
10;h_10;h_11;h_10->edge5->h_11;1000.0000;0.00;0.00;320.1000;479.8995;799.9996;true
10;h_11;h_11;h_11->(LOCAL)->h_11;10000.0000;0.00;0.00;0.0000;5100.0000;5100.0000;true
10;h_11;h_11;h_11->(LOCAL)->h_11;10000.0000;0.00;0.00;0.0000;8599.9999;8599.9999;true
10;h_10;h_10;h_10->(LOCAL)->h_10;10000.0000;0.00;0.00;0.0000;7199.9995;7199.9995;true
10;h_10;h_10;h_10->(LOCAL)->h_10;10000.0000;0.00;0.00;0.0000;1699.9998;1699.9998;true
10;h_10;h_10;h_10->(LOCAL)->h_10;10000.0000;0.00;0.00;0.0000;5499.9998;5499.9998;true
10;h_10;h_10;h_10->(LOCAL)->h_10;10000.0000;0.00;0.00;0.0000;8999.9999;8999.9999;true
10;h_10;h_10;h_10->(LOCAL)->h_10;10000.0000;0.00;0.00;0.0000;4199.9999;4199.9999;true
10;h_10;h_10;h_10->(LOCAL)->h_10;10000.0000;0.00;0.00;0.0000;5999.9998;5999.9998;true
10;h_10;h_10;h_10->(LOCAL)->h_10;10000.0000;0.00;0.00;0.0000;3599.9996;3599.9996;true
10;h_10;h_10;h_10->(LOCAL)->h_10;10000.0000;0.00;0.00;0.0000;6999.9997;6999.9997;true
20;h_10;h_11;h_10->edge5->h_11;1000.0000;1824.00;182.40;1200.1000;8299.8995;9499.9996;true
20;h_11;h_11;h_11->(LOCAL)->h_11;10000.0000;0.00;0.00;0.0000;8999.9998;8999.9998;true
20;h_11;h_11;h_11->(LOCAL)->h_11;10000.0000;0.00;0.00;0.0000;8699.9997;8699.9997;true
20;h_11;h_11;h_11->(LOCAL)->h_11;10000.0000;0.00;0.00;0.0000;8399.9997;8399.9997;true
20;h_11;h_11;h_11->(LOCAL)->h_11;10000.0000;0.00;0.00;0.0000;8199.9997;8199.9997;true
20;h_11;h_11;h_11->(LOCAL)->h_11;10000.0000;0.00;0.00;0.0000;7799.9996;7799.9996;true
20;h_11;h_11;h_11->(LOCAL)->h_11;10000.0000;0.00;0.00;0.0000;6900.0000;6900.0000;true
20;h_11;h_11;h_11->(LOCAL)->h_11;10000.0000;0.00;0.00;0.0000;3899.9999;3899.9999;true
20;h_11;h_11;h_11->(LOCAL)->h_11;10000.0000;0.00;0.00;0.0000;2799.9999;2799.9999;true
20;h_11;h_11;h_11->(LOCAL)->h_11;10000.0000;0.00;0.00;0.0000;1799.9998;1799.9998;true
20;h_10;h_11;h_10->edge5->h_11;1000.0000;1824.00;182.40;2400.1000;3399.8999;5799.9999;true
20;h_10;h_11;h_10->edge5->h_11;1000.0000;1824.00;182.40;1200.1000;399.8999;1600.0000;true
20;h_11;h_11;h_11->(LOCAL)->h_11;10000.0000;0.00;0.00;0.0000;599.9996;599.9996;true
20;h_10;h_11;h_10->edge5->h_11;1000.0000;1824.00;182.40;160.1000;7239.8998;7399.9999;true
20;h_10;h_11;h_10->edge5->h_11;1000.0000;1824.00;182.40;1200.1000;1899.8998;3099.9999;true
20;h_10;h_11;h_10->edge5->h_11;1000.0000;1824.00;182.40;800.1000;9099.8997;9899.9997;true
20;h_10;h_11;h_10->edge5->h_11;1000.0000;1824.00;182.40;80.1000;6419.8995;6499.9995;true
20;h_10;h_11;h_10->edge5->h_11;1000.0000;1824.00;182.40;2400.1000;3799.8999;6200.0000;true
20;h_10;h_11;h_10->edge5->h_11;1000.0000;1824.00;182.40;800.1000;4599.8995;5399.9996;true
20;h_10;h_11;h_10->edge5->h_11;1000.0000;1824.00;182.40;320.1000;4579.8995;4899.9996;true
20;h_10;h_11;h_10->edge5->h_11;1000.0000;1824.00;182.40;320.1000;1679.8995;1999.9995;true
20;h_11;h_11;h_11->(LOCAL)->h_11;10000.0000;0.00;0.00;0.0000;3399.9997;3399.9997;true
20;h_11;h_11;h_11->(LOCAL)->h_11;10000.0000;0.00;0.00;0.0000;299.9997;299.9997;true
20;h_10;h_10;h_10->(LOCAL)->h_10;10000.0000;0.00;0.00;0.0000;2299.9997;2299.9997;true
20;h_10;h_10;h_10->(LOCAL)->h_10;10000.0000;0.00;0.00;0.0000;1199.9998;1199.9998;true
20;h_10;h_10;h_10->(LOCAL)->h_10;10000.0000;0.00;0.00;0.0000;9299.9998;9299.9998;true
